index,Job Title,Lower Salary Expectations,Higher Salary Expectation,Rating,Company Name,Location,State,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Total Years
0,Sr Data Scientist,$137,$171,3.1,Healthfirst,New York, NY,"New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,"EmblemHealth, UnitedHealth Group, Aetna",30
1,Data Scientist,$137,$171,4.2,ManTech,Chantilly, VA,"Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,55
2,Data Scientist,$137,$171,3.8,Analysis Group,Boston, MA,"Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),,42
3,Data Scientist,$137,$171,3.5,INFICON,Newton, MA,"Bad Ragaz, Switzerland",501 to 1000 employees,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies",23
4,Data Scientist,$137,$171,2.9,Affinity Solutions,New York, NY,"New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",25
5,Data Scientist,$137,$171,4.2,HG Insights,Santa Barbara, CA,"Santa Barbara, CA",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,13
6,Data Scientist / Machine Learning Expert,$137,$171,3.9,Novartis,Cambridge, MA,"Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,27
7,Data Scientist,$137,$171,3.5,iRobot,Bedford, MA,"Bedford, MA",1001 to 5000 employees,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),,33
8,Staff Data Scientist - Analytics,$137,$171,4.4,Intuit - Data,San Diego, CA,"Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",40
9,Data Scientist,$137,$171,3.6,XSELL Technologies,Chicago, IL,"Chicago, IL",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,9
10,Data Scientist,$137,$171,4.5,Novetta,Herndon, VA,"Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",11
11,Data Scientist,$137,$171,4.7,1904labs,Saint Louis, MO,"Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",7
12,"Data Scientist - Statistics, Early Career",$137,$171,3.7,PNNL,Richland, WA,"Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",58
13,Data Modeler,$137,$171,3.1,Old World Industries,Northbrook, IL,"Northbrook, IL",201 to 500 employees,1973,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),,50
14,Data Scientist,$137,$171,3.4,Mathematica Policy Research,Washington, DC,"Princeton, NJ",1001 to 5000 employees,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD),,37
15,Experienced Data Scientist,$137,$171,4.4,Guzman & Griffin Technologies (GGTI),Washington, DC,"Mays Landing, NJ",1 to 50 employees,1997,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,,26
16,Data Scientist - Contract,$137,$171,4.1,Upside Business Travel,Remote,,"Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,8
17,Data Scientist,$137,$171,3.5,Buckman,Memphis, TN,"Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),,78
18,Data Analyst II,$137,$171,4.2,"Insight Enterprises, Inc.",Plano, TX,"Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International",35
19,Medical Lab Scientist,$137,$171,3.5,Tower Health,West Grove, PA,"Reading, PA",5001 to 10000 employees,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,6
20,Data Scientist,$137,$171,3.2,Triplebyte,New York, NY,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,8
